2016-05-27 09:43:15,649 [qtp1888442711-20 - //localhost:8901/sdn/vpncards/1/2/] INFO  z.s.sdn.api.common.ControllerAspect [Line:23 ] - 开始执行:execution(VPNCardController.getVPNCards(..))
2016-05-27 09:43:15,655 [qtp1888442711-20 - //localhost:8901/sdn/vpncards/1/2/] INFO  z.s.sdn.api.common.ControllerAspect [Line:28 ] - execution(VPNCardController.getVPNCards(..))[耗时:6]
2016-05-27 09:43:19,859 [qtp1888442711-17 - //localhost:8901/sdn/vpncards/1/10] INFO  z.s.sdn.api.common.ControllerAspect [Line:23 ] - 开始执行:execution(VPNCardController.getVPNCards(..))
2016-05-27 09:43:19,870 [qtp1888442711-17 - //localhost:8901/sdn/vpncards/1/10] INFO  z.s.sdn.api.common.ControllerAspect [Line:28 ] - execution(VPNCardController.getVPNCards(..))[耗时:11]
2016-05-27 09:43:32,465 [qtp1888442711-18 - //localhost:8901/sdn/vpnusers/1/10] INFO  z.s.sdn.api.common.ControllerAspect [Line:23 ] - 开始执行:execution(VPNUserController.getVPNUsers(..))
2016-05-27 09:43:32,500 [qtp1888442711-18 - //localhost:8901/sdn/vpnusers/1/10] INFO  z.s.sdn.api.common.ControllerAspect [Line:28 ] - execution(VPNUserController.getVPNUsers(..))[耗时:35]
2016-05-27 09:59:38,940 [main] INFO  zx.soft.sdn.api.server.JettyServer [Line:45 ] - Starting server at port 8901 at context path /sdn
2016-05-27 09:59:38,961 [main] INFO  org.eclipse.jetty.util.log [Line:186] - Logging initialized @452ms
2016-05-27 09:59:39,055 [main] INFO  org.eclipse.jetty.server.Server [Line:339] - jetty-9.3.0.M1
2016-05-27 09:59:39,210 [main] INFO  /sdn [Line:2057] - Initializing Spring root WebApplicationContext
2016-05-27 09:59:39,210 [main] INFO  o.s.web.context.ContextLoader [Line:285] - Root WebApplicationContext: initialization started
2016-05-27 09:59:39,289 [main] INFO  o.s.w.c.s.XmlWebApplicationContext [Line:510] - Refreshing Root WebApplicationContext: startup date [Fri May 27 09:59:39 CST 2016]; root of context hierarchy
